MEDI 3441,INTERNADO OBLIGATORIO ORTOPED.
ISIS 1404L,LAB TI EN LAS ORGANIZACIONES
IQUI 3012,LAB. OPERACIONES UNITARIAS
IELE 2500,SE�ALES
PSIC 3800,PSICOLOGIA APLICADA
LITE 3903,ASISTENCIA�DE�INVESTIGACI�N
MEDI 3417,MEDICINA LEGAL Y CIENCIA FORE.
ARQU 3810,PROY. UNIDAD INTERM. FORMA
HIST 6985,TUTORIAL DE INV. VII -DHIST
LENG 2315,KREATIVES SPRECHEN UND SCHREIB
ARQU 3992,PRACTICA INSTITUC.TIEMPO PARCI
MBIO 2302,BIOLOGIA DE HONGOS-TEO
MUSI 3503,COMPOSICION 4
LENG 1104,INGL�S 4
MBIT 4202,GOBIERNO DE TI
DDER 6403,TUTORIA 3
ECON 2201,MACROECONOMIA 2
PSIC 3812,PR�CTICA 2 06
EGOB 4122,PROYECTO DE GRADO APLICADO II
ARQU 1420,TALLER CIUDAD 2
QUIM 1301,QUIMICA ORGANICA
QUIM 4900,TESIS I
DISE 2307,PRODUCTO 2
IIND 3222,PRODUCTO INDUSTRIAL
ARQU 2202,ARQUITECTURA CLASICA
PSIC 3915,GETION Y DLLO.TALENTO HUMANO
MUSI 3405,INSTRUMENTO 10
MEDI 1212,INMUNOLOGIA
MEDI 3423,MEDICINA FISICA Y REHABILITA.
PSIC 3814,INFORME DE PR�CTICA
IIND 2104,MODELOS PROBABILISTICOS
LENG 1742,CHINO 2
ICYA 4301,ADMON PROYECTO CONSTRUC
IBIO 2261,LABORATORIO MODELADO Y SIMULAC
